nClusters,dist,PCA,nTopics,silhouetteValue,Acc_FirstPartyWinner,Acc_IssueArea
2,0.9188353374559897,2,2,0.7851003153755364,0.51952770208901,0.3957008779897063
3,0.5634403801337748,2,2,0.7815350745572333,0.4389948531637905,0.40387526491068726
4,0.488066701700837,2,2,0.7211694590623722,0.43869209809264303,0.4011504692703603
5,0.35001083118801507,2,2,0.7287889877346119,0.41992128368150167,0.3884347562821677
6,0.3267309992950932,2,2,0.7211004735974487,0.387223735997578,0.38086587950348166
7,0.26263716326244724,2,2,0.7198609276803265,0.3869209809264305,0.38086587950348166
8,0.22815145216706267,2,2,0.7203833207790276,0.36633363608840447,0.3578564940962761
9,0.22147695079460672,2,2,0.715807035172818,0.36633363608840447,0.358462004238571
10,0.19493065941929982,2,2,0.7149467127131367,0.36633363608840447,0.35815924916742353
11,0.17727960646530272,2,2,0.7152503865988902,0.32334241598546776,0.34847108689070544
12,0.16341023076695183,2,2,0.7132279001905929,0.32334241598546776,0.3478655767484105
13,0.1533710329330686,2,2,0.7019221044198518,0.32334241598546776,0.34665455646382076
14,0.14200174944873162,2,2,0.7010545882672827,0.32334241598546776,0.3445352709657887
15,0.1355067626222642,2,2,0.6971342527054034,0.32334241598546776,0.34483802603693614
16,0.12338350112221437,2,2,0.6983657230326379,0.32334241598546776,0.3439297608234938
17,0.11904370088813958,2,2,0.7010734144894184,0.32334241598546776,0.3439297608234938
18,0.10572758242904853,2,2,0.6867960828327968,0.3230396609143203,0.3384801695428398
19,0.09570756709809528,2,2,0.6889079713313978,0.3230396609143203,0.3387829246139873
2,1.410182317941633,2,52,0.5161756752463075,0.6194368755676658,0.29125037844383894
3,0.9650131562018005,2,52,0.613564115888293,0.5052982137450802,0.29851650015137754
4,0.8529708430180836,2,52,0.5900702006084565,0.4998486224644263,0.2724795640326976
5,0.7341792655672312,2,52,0.5725381742804636,0.4983348471086891,0.2670299727520436
6,0.7324488288676476,2,52,0.5084941126083539,0.4943990311837723,0.2503784438389343
7,0.6710250448183765,2,52,0.5015218853088125,0.4838026036936119,0.24553436270057524
8,0.6581250904580369,2,52,0.49131762720906186,0.4838026036936119,0.24553436270057524
9,0.6064809437470509,2,52,0.4627588711832861,0.4535270965788677,0.24583711777172268
10,0.5680014400668183,2,52,0.2791404371568462,0.37904934907659704,0.18740538904026643
11,0.5632918411677524,2,52,0.2882062777931986,0.37904934907659704,0.18528610354223432
12,0.4750224423666429,2,52,0.28441654412631495,0.37904934907659704,0.18528610354223432
13,0.4498132651733606,2,52,0.2839821976039694,0.37904934907659704,0.18528610354223432
14,0.43989107335430994,2,52,0.2557906972214589,0.24402058734483803,0.210414774447472
15,0.4310979440158145,2,52,0.25444883084883935,0.24402058734483803,0.210414774447472
16,0.39708454887102834,2,52,0.2608748485837312,0.24402058734483803,0.20829548894943992
17,0.3929979998491794,2,52,0.2601313014559023,0.24402058734483803,0.20829548894943992
18,0.39137605263215947,2,52,0.2564770749611884,0.24402058734483803,0.20799273387829245
19,0.343164451814969,2,52,0.25426487802164377,0.24402058734483803,0.20799273387829245
2,5.710770443585273,52,52,0.02822448191148945,0.6142900393581593,0.26067211625794734
3,5.537568237460259,52,52,0.016249097364151546,0.4765364819860733,0.27823191038449896
4,5.364652618025041,52,52,0.01797397887309079,0.47593097184377836,0.2742960944595822
5,5.321572230176484,52,52,0.011144593524144987,0.45746291250378446,0.2736905843172873
6,5.181550136965074,52,52,0.0051856792988940765,0.45746291250378446,0.27338782924613986
7,5.116376941158682,52,52,0.002629908118274694,0.45746291250378446,0.27762640024220403
8,4.9943402202730125,52,52,0.00481672863122056,0.45746291250378446,0.2758098698153194
9,4.958678009344906,52,52,0.00039364080381777374,0.45322434150772023,0.27702089009990916
10,4.951205885780673,52,52,0.0027799282540334523,0.45322434150772023,0.27702089009990916
11,4.797258012454817,52,52,0.004342731324511031,0.45322434150772023,0.27338782924613986
12,4.733265529919161,52,52,0.024205634189910417,0.32909476233726914,0.20435967302452315
13,4.6805416991276285,52,52,0.02475657211364694,0.32909476233726914,0.20435967302452315
14,4.630659003212401,52,52,0.023264447158392317,0.32909476233726914,0.2067817135937027
15,4.611869695610238,52,52,0.023013365635381953,0.32909476233726914,0.2061762034514078
16,4.451157478887597,52,52,0.034525929409824,0.2815622161671208,0.2198001816530427
17,4.443240679638601,52,52,0.03242977443970607,0.2815622161671208,0.21465334544353618
18,4.436684831495248,52,52,0.03335645957034684,0.2815622161671208,0.21465334544353618
19,4.418596242047735,52,52,0.03375484361429017,0.2815622161671208,0.21465334544353618
2,1.4042801447389635,2,102,0.6769124101168621,0.6224644262791402,0.22040569179533756
3,1.0124598652331256,2,102,0.6651161185513912,0.6121707538601272,0.22918558885861337
4,0.9215776216458398,2,102,0.3995865670061896,0.542839842567363,0.27338782924613986
5,0.767663804396435,2,102,0.5146351689976243,0.4644262791401756,0.27974568574023617
6,0.5716711615729579,2,102,0.509262617333101,0.4644262791401756,0.2800484408113836
7,0.5685925109203392,2,102,0.5399759784836545,0.4411141386618226,0.28640629730547984
8,0.5141143475488148,2,102,0.5212027904664759,0.43869209809264303,0.27702089009990916
9,0.48772028702570813,2,102,0.4964410354481378,0.43869209809264303,0.27490160460187707
10,0.4768928375169478,2,102,0.5008908540877759,0.4383893430214956,0.27459884953072966
11,0.406984573964941,2,102,0.499823278197905,0.4383893430214956,0.27459884953072966
12,0.40264584244725193,2,102,0.500540061747772,0.4383893430214956,0.27459884953072966
13,0.36680255390155114,2,102,0.4984272321627875,0.4383893430214956,0.27459884953072966
14,0.35485565685392817,2,102,0.4974227271748337,0.4383893430214956,0.2742960944595822
15,0.3478352191286276,2,102,0.4969522185786969,0.4383893430214956,0.2742960944595822
16,0.3466055604697805,2,102,0.5085916180377826,0.4087193460490463,0.27338782924613986
17,0.3069602087382482,2,102,0.47581188789277956,0.3960036330608538,0.23312140478353013
18,0.3007711899921746,2,102,0.47493441689681726,0.3960036330608538,0.23312140478353013
19,0.2739020319662412,2,102,0.4792029025368709,0.3960036330608538,0.23312140478353013
2,6.323184129349491,52,102,0.0108164415050399,0.577051165607024,0.2506811989100817
3,6.279297340481029,52,102,-0.007516180829867497,0.537390251286709,0.2528004844081138
4,5.92294115485025,52,102,-0.0012767021290842999,0.45019679079624586,0.2685437481077808
5,5.809814831029167,52,102,-0.014159766316550304,0.43505903723887374,0.26945201332122315
6,5.709640505652774,52,102,-0.009487426024358437,0.43505903723887374,0.2655161973963064
7,5.6822050598871785,52,102,-0.0076466445911752955,0.43505903723887374,0.26581895246745385
8,5.6320361493505775,52,102,-0.007723166440091733,0.43505903723887374,0.26581895246745385
9,5.519969175148619,52,102,-0.019262204934924407,0.43263699666969424,0.2655161973963064
10,5.4555753638328355,52,102,-0.01672927961473758,0.43263699666969424,0.270057523463518
11,5.354097867695103,52,102,-0.010776699520244072,0.40962761126248864,0.25855283075991525
12,5.2934286379585895,52,102,0.0020481482106972054,0.322131395700878,0.2655161973963064
13,5.1906861050634125,52,102,0.0023767769866952274,0.322131395700878,0.26612170753860126
14,5.090990889986576,52,102,0.004042518021986742,0.322131395700878,0.26581895246745385
15,5.057732000971267,52,102,0.008279863036130352,0.322131395700878,0.26612170753860126
16,5.005797221810476,52,102,0.010608474528925875,0.322131395700878,0.2676354828943385
17,5.003493366480905,52,102,0.011397195907056198,0.322131395700878,0.2676354828943385
18,4.972745892316671,52,102,0.01240087925316874,0.322131395700878,0.2676354828943385
19,4.969952686100593,52,102,0.011678668155142433,0.322131395700878,0.2676354828943385
2,8.153114478303564,102,102,0.030628353101599583,0.5782621858916137,0.25522252497729336
3,7.661159813087348,102,102,0.024207645922487513,0.5370874962155616,0.2512867090523766
4,7.333832874728722,102,102,0.019718088191362445,0.5331516802906449,0.24916742355434454
5,7.323246274288342,102,102,0.0140955793131722,0.5280048440811383,0.24613987284287012
6,7.248387797256602,102,102,0.015557840156910292,0.5280048440811383,0.2482591583409022
7,6.960453339361528,102,102,0.017312969009550434,0.5110505600968817,0.24947017862549198
8,6.882431134236071,102,102,0.01706514209151008,0.444141689373297,0.24856191341204964
9,6.77006858761665,102,102,0.014966193192339326,0.44232515894641233,0.246745382985165
10,6.712113259667111,102,102,0.015135426534791416,0.44232515894641233,0.2473508931274599
11,6.705934844737711,102,102,0.01604211953280091,0.44232515894641233,0.2473508931274599
12,6.691434894052596,102,102,0.016700599434613328,0.44232515894641233,0.24795640326975477
