tree1,tree2,dist
1242,1260,2.046812345529725e-06
1895,3155,3.364278856035456e-05
1527,2556,3.8302917372445844e-05
1551,2513,4.507662756452445e-05
415,1028,4.959171233498774e-05
342,2752,5.259610676630784e-05
1160,1480,5.443037241327671e-05
1549,2689,5.511516352520521e-05
2160,2662,5.81795021446993e-05
1579,2870,5.8823316063685155e-05
1691,2604,6.0411302933308444e-05
1371,1963,6.220784483723305e-05
915,3164,6.503761518179569e-05
2610,2798,6.557292994109967e-05
1122,2935,6.565658621232942e-05
499,1806,6.782794711339673e-05
921,2918,6.863685689196923e-05
778,2409,7.322028291213527e-05
1012,2342,7.5727547804833e-05
45,1350,7.614627088796747e-05
965,1395,7.64598112959064e-05
841,1180,7.94802494312307e-05
173,795,7.966775937828102e-05
1418,2700,8.027753297078916e-05
2144,2170,8.11690381599707e-05
270,310,8.21367403966225e-05
1301,2364,8.373545553501567e-05
372,3287,8.374293811168332e-05
2427,3262,8.516138493401548e-05
1807,2832,8.652954175682875e-05
2323,3278,9.182905632888413e-05
546,1107,9.186919110263161e-05
1303,3175,9.195215136841538e-05
1220,2362,9.443684936569913e-05
20,3022,9.481955235423126e-05
3331,3032,9.677025600516101e-05
1854,3109,9.867384466318366e-05
520,2532,9.95022244294954e-05
1094,1546,9.973136328956557e-05
1269,1805,0.00010170009582041555
413,1067,0.00010262188548694311
1803,3219,0.00010306317077033236
389,1197,0.00010346273349017866
1214,1317,0.00010410834204373914
5,2635,0.00010664211847885921
1261,2302,0.0001074835755466106
565,2316,0.00010975078989141664
344,2429,0.00011287558223564351
3308,3272,0.00011303804156993953
220,534,0.00011598687916695733
213,1858,0.000116134340942365
1047,1976,0.0001206024668309151
404,2600,0.00012185305708456787
298,437,0.00012360653939283948
1902,3264,0.00012429862042661992
352,519,0.00012586330803706497
1372,2334,0.0001273731876561962
830,1015,0.0001293928897617702
378,1778,0.00013070866731687905
1852,2444,0.00013136091153406228
2592,3251,0.0001330163171288333
547,868,0.00013604058943830506
702,1255,0.00013640411552815618
819,2756,0.00013778699902157812
2178,3286,0.00013786530639406727
163,335,0.00013821251968519892
1239,1316,0.00013852015900741102
480,2387,0.00013972637399325277
1980,2805,0.0001399820977121425
280,2070,0.0001402228376646622
621,862,0.0001410984781195397
2125,2618,0.0001417820065734588
876,1775,0.00014328948972064208
994,2869,0.00014390815019613666
109,487,0.00014404088102080298
1168,1621,0.00014643232733358227
1095,2452,0.0001468345703989557
1864,2467,0.0001475061239571314
1705,1822,0.00014812864983741042
790,2076,0.00014906662398016246
871,2986,0.00014988632983854722
866,1112,0.00015040418207961856
207,2327,0.00015266627620586642
1085,1205,0.00015332180376908047
1654,2828,0.0001545776881988984
22,2543,0.0001549788818998015
459,3106,0.00015705588338887563
445,2968,0.00015771147245780687
1722,2529,0.0001580141718965436
3330,2520,0.00015812327139933142
831,1626,0.0001612131719581321
974,1859,0.00016499894747568251
3351,3265,0.00016543007981185964
900,2744,0.00016572064063912276
174,503,0.00016610225562575798
407,2732,0.00016674860093481188
1343,2758,0.00016682534270192825
186,504,0.0001668383923745624
1391,3157,0.0001675441502712212
419,2149,0.0001675509761478759
15,783,0.00016782885757582033
999,1505,0.00016857235781653213
463,2224,0.0001692046433187898
1518,2118,0.00016949944865637598
126,2361,0.00017005752953340274
902,2098,0.00017016036940040863
2304,3201,0.00017142674804046173
261,3304,0.00017165774538615772
1298,1617,0.00017384798725495268
1250,3100,0.00017480675102079027
709,1234,0.00017482644119366612
282,1605,0.00017483230749532064
663,2980,0.00017596680498718417
1025,2862,0.00017692036658016955
254,990,0.00017709367432371722
195,1001,0.00017976747270874796
1878,2442,0.00017994563861980714
675,1819,0.00018111137998766055
754,1889,0.00018231997750910167
239,1198,0.00018346727058209805
516,766,0.00018456890302536236
780,2083,0.00018473524338199175
2187,3220,0.000187167070498373
1153,2875,0.0001886705070232534
776,1142,0.0001909453450488277
285,2487,0.00019096404316337572
1309,1733,0.00019217716369786947
56,96,0.0001924633333520217
1412,3179,0.00019427309102394014
1275,3001,0.0001945958726598425
1727,1894,0.0001948336600940681
1115,1532,0.00019701198299860306
1988,3015,0.00019887903902380752
141,1416,0.00020042341628745235
1262,2763,0.00020175550017873835
1338,2002,0.00020390479331239449
1167,2570,0.00020409186451271315
3378,2005,0.0002041908857207675
642,3181,0.00020465221387683773
185,2545,0.00020502719537011677
426,740,0.000206383859148878
1037,2434,0.00020719272319376716
2531,2705,0.00020796680321770282
3376,1723,0.00020957581293558694
2140,2967,0.00020966862329918623
3081,3284,0.0002098125350604007
696,1325,0.0002102812761882386
1475,2354,0.00021124404075765525
120,3309,0.00021162469613652223
1930,2406,0.00021167114628167089
977,2581,0.0002149577453028073
3344,2874,0.000219542388444606
137,2077,0.00022061957855092247
2025,2947,0.00022092711937551218
639,1322,0.00022525198802484346
167,1458,0.00022560512390407128
559,810,0.0002279308941553794
3312,2647,0.00022845528823132663
935,2272,0.00022865660569652835
2057,2119,0.0002286608920396855
2958,3296,0.00022989180186259138
538,2504,0.00023097534997077937
192,1898,0.00023160500714115677
3347,524,0.00023297335177215137
1270,1707,0.0002338251212376935
2344,3031,0.0002348039904769509
3334,2865,0.00023642785177341134
1842,2366,0.00023929751117043527
670,885,0.0002418408941983908
3307,850,0.0002419450440047377
339,1674,0.00024244211780034396
251,1400,0.00024324329716528953
304,3146,0.00024393172917904458
1619,2842,0.000244548355445396
3329,2624,0.0002455784159242809
3392,452,0.0002457183295678147
942,1531,0.00024633774462809455
714,1209,0.00024727503358362235
396,2158,0.00024885496065956466
3365,3294,0.0002497874024491205
763,1829,0.0002501322847341808
1567,1646,0.0002504338272234577
2549,2571,0.0002513521622970593
1280,3249,0.0002526437110479014
892,2911,0.0002526701803047546
693,3034,0.00025289464922731084
1273,1354,0.00025289839534579917
1568,1792,0.00025321757539790817
535,1196,0.00025469268454510197
1625,2311,0.0002552299107001013
1073,1740,0.0002562383526653819
1451,2205,0.0002565977898874132
1017,1394,0.0002566522008013647
1339,3362,0.00025687640396602
1199,2547,0.00025691597478278046
993,3321,0.0002570718624219188
593,2525,0.00025844222759191515
1560,2094,0.000258451460324792
187,3268,0.0002595168698449647
1312,2210,0.00026013332231439486
1995,2390,0.0002606520330505225
3350,1062,0.00026118267198463503
557,3212,0.0002619142320118093
500,1405,0.0002621373479474911
290,2273,0.00026359118764071425
1365,3182,0.0002638566726819204
337,2231,0.00026480951682464424
2214,3263,0.0002663753222465516
1116,2942,0.0002668958059960612
2945,3141,0.00026744883621818843
32,853,0.00026800325426989437
530,2474,0.000268109230936283
1424,2488,0.0002685923404763691
1069,1330,0.00026863346482778466
542,3216,0.0002687021854640183
40,1093,0.00026927764592481543
1558,2919,0.0002694485927178039
2007,2800,0.00027033428305097557
3306,3271,0.0002718224499492685
1504,2182,0.00027252124505082465
2097,2422,0.00027302404446144166
2849,3085,0.00027381659357423455
3458,1584,0.00027413079942289337
669,1804,0.00027508210871005946
1175,3133,0.0002771337678384323
1841,2791,0.000277514281667543
171,3099,0.0002778251494147295
140,2866,0.0002784602218915463
1356,1633,0.00028086758469766937
1787,2998,0.0002809748802863627
397,657,0.0002810801240928952
1478,1649,0.0002811186778459134
345,2540,0.0002816005055331864
2044,2115,0.0002820060535979642
2802,2928,0.0002820657610948397
3190,3205,0.0002823200241510865
64,548,0.00028272728833603905
2022,2632,0.0002848338042935102
1090,2462,0.0002869818096726479
332,1553,0.00028778977831186645
1651,2045,0.00028862024809572784
785,3122,0.00028866756313027445
1420,1734,0.00028892573554525555
1419,3076,0.000289813014936963
462,3091,0.00029020088157940063
3457,3012,0.0002911039015227792
989,3028,0.0002916242349684829
3382,1917,0.0002934073678548775
963,3170,0.0002941891249833746
1466,1817,0.00029653609590003793
2190,3041,0.0002973648295574241
721,2401,0.0002985590855157996
3348,3178,0.0002994358929952739
395,1445,0.00029962958195298844
803,2699,0.00029971340964420057
857,2368,0.0002998758184814751
1789,3030,0.0003001940192666856
145,741,0.0003015084230415521
175,3242,0.00030298085505641413
3343,1357,0.00030402129327207136
512,2890,0.00030502897827952395
2524,2768,0.00030593134947513347
1106,2836,0.0003059750056070912
1797,3150,0.0003066498670704909
793,2995,0.00030669697264867554
357,2857,0.00030741309148374016
25,446,0.0003083358710593894
1347,2536,0.0003085781978273156
1105,1863,0.00030937182640232777
1145,3188,0.00030937419481826336
705,1222,0.00030956703261872213
44,2322,0.0003098234363679529
3419,2920,0.00031000295715310697
2141,3063,0.00031008155786417177
3411,1910,0.0003113029510806598
698,1117,0.000311784744236137
11,3401,0.00031200777287995925
113,1131,0.000312105296334797
412,1865,0.0003122494351009211
2425,3000,0.0003127030886269644
3515,1909,0.0003129038067036429
1318,2108,0.00031370040911564423
3325,893,0.00031535993641138363
84,1236,0.0003159043611855577
1712,3071,0.0003163348100482244
770,1870,0.00031683778573598186
3406,2593,0.00031779496501889784
598,1537,0.0003186241491395358
1022,3386,0.0003201971779414059
1861,2084,0.0003204709496559908
1257,1573,0.00032078417796947787
1034,3460,0.0003208614268759638
938,2088,0.0003210088466767992
3340,3326,0.0003212613135182788
228,2819,0.00032394332938452154
928,1334,0.00032404091969120974
1474,3151,0.000324511509109969
1622,2405,0.00032704915968088423
