tree1,tree2,dist
1242,1260,1.2276330877206143e-08
13,97,4.1202138750806583e-07
1680,1968,5.508873827664296e-07
1618,1780,8.942272156642339e-07
549,976,1.0531024637050468e-06
1019,1882,1.2135602717733285e-06
376,2033,2.1423398219866385e-06
678,878,2.434285198277264e-06
1060,3306,2.931078095874673e-06
112,2433,7.834842777637574e-06
382,1298,1.0100046874350621e-05
69,1478,1.96394024984288e-05
3313,1396,2.89753292797984e-05
1389,2032,3.485014235715678e-05
1234,1839,3.832301094869317e-05
654,1002,3.9097601042259456e-05
794,3311,4.6127220543423775e-05
64,3314,6.0635484343320514e-05
1206,1416,6.360406142046082e-05
983,2956,7.043917465585081e-05
1690,1936,8.517395240781322e-05
317,2001,8.930434959297795e-05
3307,2734,9.208724856661632e-05
3319,1392,9.255251682549481e-05
1155,1890,9.376703695282429e-05
990,1034,0.00010038392308922561
119,415,0.00010133884854365491
1539,1934,0.00010301000732029775
1374,1770,0.00010594108541622793
1047,2338,0.00010857830541508018
1025,1812,0.0001097490085969488
863,1259,0.00011879950005494466
2360,2964,0.00012558101479026584
892,2180,0.00013887682693547454
2400,2738,0.00013932311976955214
932,3041,0.00014078233116168737
3318,1241,0.00016187996568756136
3326,1996,0.0001812052094047334
3315,3321,0.00018535553556038586
2578,2751,0.0002074284057342335
3309,1449,0.00021484607929458943
927,1742,0.00021781884595889478
543,1015,0.00022322684851358576
84,2268,0.0002325501892005144
436,2922,0.0002574414007528447
17,3330,0.00026287796177251743
15,964,0.00026330698755791526
2186,3056,0.0002665246319861758
495,1552,0.00027080892517961086
1201,1727,0.0002715874797238338
3327,2837,0.000272231483134891
3331,2426,0.00027338513155708566
1353,1720,0.000279728186979078
3322,1738,0.00028750799744370337
856,3336,0.0002881954679725268
1265,2646,0.0003011868676747742
1244,2923,0.00030637129830168863
3320,3329,0.00031035485836099046
220,810,0.0003139951332553209
733,3335,0.0003238857525334482
21,767,0.00033146787890209195
53,1474,0.00033377405093457276
3334,3316,0.00033988330955020407
721,1412,0.00035189352335963583
441,1587,0.000356966506608547
728,1887,0.00035715004917710735
138,459,0.0003606016988630077
1278,2039,0.00036064057464713084
1225,2834,0.0003617849768928483
768,3323,0.0003628994679371611
2375,2828,0.00038220677146913115
193,1502,0.0003827335338474902
3328,1916,0.0003852539097095875
1566,2037,0.00038578935913785584
867,3206,0.00039429150802428037
2221,2439,0.000404901770327426
1886,2802,0.0004072234761023641
500,2764,0.00040801247416277775
3338,1532,0.0004243669138888351
3343,2079,0.0004298145780077256
